,날짜,전국,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,세종,경북,경남,제주
74,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
75,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
76,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
77,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
78,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
79,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
80,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
81,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
82,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
83,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
84,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
85,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
86,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
87,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
88,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
89,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
90,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
91,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
92,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
93,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
94,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
95,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
96,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
97,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
98,05-19,10,12,6,6,16,6,7,8,13,8,9,13,9,6,8,9,6,6
99,05-18,18,18,23,23,22,11,17,25,18,14,15,17,18,11,14,22,20,6
100,05-17,18,14,21,26,17,16,18,29,16,15,16,16,17,18,15,24,22,18
101,05-16,29,31,39,38,34,22,22,41,30,25,24,26,23,25,23,30,34,21
102,05-15,22,20,32,25,23,19,19,32,21,16,18,22,21,21,19,21,26,29
103,05-14,16,13,18,19,15,15,14,23,15,14,17,15,16,17,15,18,20,11
104,05-13,18,24,12,16,25,15,19,14,23,18,23,20,20,10,17,18,11,6
