날짜,평균기온,최고기온,최저기온,평균운량,일강수량
2019-04-06,9.3℃,12.2℃,5.9℃,8.5,0.8mm
2019-04-07,12.6℃,20.3℃,5.6℃,4.4,0
2019-04-08,11.6℃,17.2℃,7.6℃,3.3,0
2019-04-09,9.2℃,13.9℃,4.7℃,9.4,17.4mm
2019-04-10,7.1℃,10.2℃,4.7℃,8.3,5.6mm
2019-04-11,9.5℃,15.7℃,4.3℃,4.6,0
2019-04-12,11.4℃,18.4℃,5.5℃,1.8,0
2019-04-13,11.8℃,17.9℃,6.2℃,5.6,0
2019-04-14,9.6℃,13.6℃,6.9℃,6.0,1.7mm
2019-04-15,11.6℃,18.1℃,3.9℃,0.0,0
2019-04-16,14.9℃,22.6℃,6.8℃,4.8,0
2019-04-17,15.3℃,21.8℃,9.1℃,3.9,0
2019-04-18,12.6℃,16.2℃,10.4℃,6.3,0.0mm
2019-04-19,13.8℃,19.7℃,9.6℃,4.8,0
2019-04-20,14.3℃,19.1℃,9.7℃,7.1,1.2mm
2019-04-21,14.8℃,20.2℃,12.2℃,7.9,0.3mm
2019-04-22,19.3℃,28.2℃,10.7℃,2.3,0
2019-04-23,20.4℃,25.5℃,15.3℃,8.4,0.0mm
2019-04-24,19.5℃,25.9℃,15.8℃,5.0,4.1mm
2019-04-25,13.2℃,17.2℃,9.4℃,9.4,11.3mm
2019-04-26,8.4℃,9.9℃,6.2℃,8.0,4.9mm
2019-04-27,11.6℃,18.2℃,4.1℃,4.8,0
2019-04-28,12.9℃,16.6℃,9.9℃,8.1,0.0mm
2019-04-29,13.0℃,17.3℃,8.3℃,5.8,0
2019-04-30,15.5℃,22.5℃,9.0℃,4.4,0
2019-05-01,16.4℃,22.2℃,11.2℃,1.9,0
2019-05-02,17.1℃,25.3℃,10.6℃,0.0,0
2019-05-03,17.9℃,26.1℃,10.1℃,0.0,0
2019-05-04,19.5℃,27.4℃,12.0℃,4.9,0
2019-05-05,19.2℃,26.5℃,13.6℃,5.1,0
2019-05-06,14.5℃,19.8℃,9.8℃,0.3,0.0mm
2019-05-07,15.0℃,21.9℃,8.4℃,0.0,0
2019-05-08,15.6℃,21.3℃,10.1℃,6.1,0
2019-05-09,16.6℃,22.9℃,11.7℃,3.1,0
2019-05-10,17.8℃,26.8℃,10.3℃,3.5,0
2019-05-11,20.3℃,28.3℃,13.2℃,2.0,0
2019-05-12,21.6℃,28.9℃,14.7℃,4.3,0
2019-05-13,18.7℃,22.8℃,15.5℃,8.3,0.0mm
2019-05-14,19.6℃,26.9℃,12.9℃,1.6,0
2019-05-15,20.7℃,28.0℃,14.8℃,4.5,0
2019-05-16,23.5℃,30.0℃,16.7℃,2.5,0
2019-05-17,23.6℃,28.3℃,17.6℃,7.5,0
2019-05-18,22.8℃,25.9℃,19.1℃,8.5,0.0mm
2019-05-19,19.4℃,21.6℃,17.9℃,10.0,22.0mm
2019-05-20,16.4℃,20.2℃,13.0℃,4.5,8.7mm
2019-05-21,17.2℃,23.8℃,11.7℃,0.0,0
2019-05-22,19.5℃,26.5℃,12.3℃,1.4,0
2019-05-23,22.1℃,29.2℃,15.0℃,0.0,0
2019-05-24,24.2℃,33.4℃,16.2℃,1.4,0
2019-05-25,23.4℃,28.6℃,18.4℃,7.9,0
2019-05-26,24.5℃,31.1℃,18.6℃,6.0,0
2019-05-27,17.8℃,22.3℃,14.3℃,8.6,7.1mm
2019-05-28,18.1℃,24.6℃,11.9℃,2.1,0
2019-05-29,20.3℃,26.5℃,13.3℃,0.4,0
2019-05-30,19.6℃,24.5℃,14.6℃,7.9,0.0mm
2019-05-31,19.1℃,23.3℃,16.1℃,2.3,0
2019-06-01,18.9℃,23.7℃,14.8℃,5.5,0
2019-06-02,21.1℃,27.8℃,14.1℃,0.6,0
2019-06-03,23.1℃,29.5℃,16.0℃,0.6,0
2019-06-04,22.6℃,29.0℃,17.6℃,3.0,0
2019-06-05,23.0℃,29.6℃,17.8℃,5.4,0
2019-06-06,21.2℃,25.1℃,18.6℃,9.1,7.9mm
2019-06-07,20.0℃,24.7℃,17.0℃,7.4,35.3mm
2019-06-08,21.9℃,27.6℃,16.0℃,5.9,0
2019-06-09,21.6℃,26.5℃,17.1℃,8.9,2.5mm
2019-06-10,18.4℃,21.9℃,15.7℃,8.0,9.5mm
2019-06-11,20.5℃,26.1℃,15.5℃,3.5,0
2019-06-12,21.5℃,26.4℃,16.1℃,1.1,0
2019-06-13,23.0℃,28.8℃,16.6℃,3.1,0
2019-06-14,23.0℃,28.4℃,19.1℃,6.1,0
2019-06-15,21.9℃,27.4℃,17.9℃,3.1,2.1mm
2019-06-16,22.0℃,27.2℃,16.1℃,3.9,0
2019-06-17,21.7℃,26.2℃,18.1℃,4.5,0.0mm
2019-06-18,20.8℃,24.8℃,17.0℃,9.5,13.8mm
2019-06-19,21.4℃,25.4℃,18.9℃,9.4,0.2mm
2019-06-20,22.7℃,27.8℃,19.8℃,8.0,0
2019-06-21,22.1℃,26.1℃,19.4℃,7.3,0.2mm
2019-06-22,24.2℃,30.6℃,17.7℃,2.1,0
2019-06-23,25.0℃,31.0℃,19.1℃,3.0,0
2019-06-24,25.2℃,30.9℃,20.9℃,1.6,0
2019-06-25,25.6℃,32.8℃,19.5℃,1.3,0
2019-06-26,25.5℃,29.5℃,20.7℃,9.5,0.0mm
2019-06-27,25.5℃,31.2℃,21.9℃,8.3,1.4mm
2019-06-28,24.7℃,29.0℃,22.3℃,8.5,0.0mm
2019-06-29,23.1℃,27.7℃,19.6℃,8.1,1.5mm
2019-06-30,23.9℃,28.5℃,20.9℃,6.9,0.0mm
2019-07-01,23.9℃,28.9℃,20.6℃,4.9,0
2019-07-02,24.4℃,30.1℃,20.8℃,4.0,0
2019-07-03,24.1℃,27.4℃,21.2℃,6.4,0
